price,accommodates,neighbourhood,bedrooms,beds,bathrooms,review_scores_rating,property_type,room_type,last_scraped
105.0,1,Richmond Hill,1.0,1.0,1.0,,Apartment,Private room,2018-03-05
44.0,2,Fort Greene,1.0,1.0,2.0,100.0,Townhouse,Private room,2018-03-04
156.0,2,West Village,1.0,1.0,1.0,98.0,Apartment,Private room,2018-03-04
150.0,2,Downtown Brooklyn,1.0,1.0,,86.0,Apartment,Entire home/apt,2018-03-05
95.0,2,Williamsburg,1.0,2.0,1.0,90.0,Apartment,Entire home/apt,2018-03-04
85.0,2,Prospect Heights,1.0,1.0,,98.0,Apartment,Private room,2018-03-04
135.0,2,Williamsburg,1.0,1.0,1.0,94.0,Apartment,Private room,2018-03-04
115.0,4,Prospect Heights,2.0,4.0,1.0,80.0,Apartment,Entire home/apt,2018-03-04
69.0,2,East Harlem,1.0,1.0,1.0,95.0,Apartment,Private room,2018-03-04
100.0,2,Williamsburg,1.0,1.0,1.0,88.0,Apartment,Entire home/apt,2018-03-05
155.0,4,Alphabet City,2.0,3.0,1.0,89.0,Apartment,Entire home/apt,2018-03-04
219.0,2,Upper East Side,1.0,2.0,1.0,95.0,Apartment,Entire home/apt,2018-03-05
475.0,13,Boerum Hill,5.0,6.0,2.5,93.0,House,Entire home/apt,2018-03-05
60.0,4,Washington Heights,1.0,1.0,1.0,89.0,Apartment,Private room,2018-03-04
69.0,2,Harlem,1.0,1.0,1.0,96.0,House,Entire home/apt,2018-03-05
99.0,4,Upper East Side,1.0,1.0,1.0,83.0,Apartment,Entire home/apt,2018-03-06
69.0,2,Williamsburg,1.0,1.0,1.0,95.0,Apartment,Private room,2018-03-04
119.0,2,Hell's Kitchen,1.0,1.0,,96.0,Apartment,Private room,2018-03-05
135.0,3,Bedford-Stuyvesant,1.0,1.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
250.0,4,Upper West Side,2.0,3.0,2.5,100.0,Apartment,Entire home/apt,2018-03-05
250.0,2,DUMBO,1.0,1.0,,100.0,Apartment,Private room,2018-03-04
36.0,2,Lefferts Garden,1.0,1.0,1.0,100.0,Apartment,Private room,2018-03-04
325.0,4,Harlem,3.0,3.0,2.0,100.0,Apartment,Entire home/apt,2018-03-05
250.0,1,Upper East Side,1.0,1.0,1.0,100.0,Apartment,Entire home/apt,2018-03-04
250.0,6,Gowanus,2.0,3.0,1.5,92.0,Apartment,Entire home/apt,2018-03-04
117.0,2,Hamilton Heights,1.0,1.0,1.0,92.0,Apartment,Entire home/apt,2018-03-04
80.0,4,Hamilton Heights,1.0,3.0,1.0,80.0,Apartment,Entire home/apt,2018-03-04
110.0,2,Fort Greene,1.0,1.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
137.0,2,East Harlem,1.0,1.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
450.0,4,Lower East Side,2.0,2.0,2.0,95.0,Apartment,Entire home/apt,2018-03-04
70.0,3,Clinton Hill,1.0,1.0,1.0,90.0,Apartment,Private room,2018-03-04
165.0,4,Carroll Gardens,2.0,2.0,,91.0,Apartment,Entire home/apt,2018-03-04
899.0,2,Upper West Side,1.0,1.0,,90.0,Apartment,Entire home/apt,2018-03-05
70.0,2,St. George,1.0,1.0,1.0,95.0,Apartment,Private room,2018-03-04
280.0,2,West Village,1.0,1.0,1.0,97.0,Apartment,Entire home/apt,2018-03-04
50.0,1,Bushwick,1.0,1.0,1.0,99.0,House,Private room,2018-03-04
36.0,1,Highbridge,1.0,1.0,1.0,96.0,House,Private room,2018-03-04
149.0,4,Hell's Kitchen,2.0,2.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
150.0,4,Williamsburg,2.0,2.0,1.0,95.0,Apartment,Entire home/apt,2018-03-04
125.0,2,Alphabet City,1.0,1.0,1.0,93.0,Apartment,Private room,2018-03-04
225.0,2,Financial District,0.0,1.0,1.0,97.0,Apartment,Entire home/apt,2018-03-04
110.0,2,Fort Greene,1.0,1.0,1.0,93.0,House,Private room,2018-03-05
150.0,2,West Village,1.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-04
385.0,4,Noho,2.0,2.0,2.0,100.0,Apartment,Entire home/apt,2018-03-04
165.0,4,Harlem,2.0,3.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
45.0,1,Park Versailles,1.0,1.0,1.0,93.0,Apartment,Private room,2018-03-04
75.0,2,Fort Greene,1.0,1.0,1.0,97.0,Apartment,Private room,2018-03-05
395.0,6,West Village,2.0,3.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
370.0,16,Ridgewood,5.0,10.0,2.5,88.0,Apartment,Entire home/apt,2018-03-05
99.0,4,Morningside Heights,1.0,2.0,1.0,93.0,Apartment,Private room,2018-03-04
100.0,1,Williamsburg,1.0,1.0,1.0,96.0,Condominium,Private room,2018-03-04
150.0,2,Park Slope,1.0,1.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
90.0,2,Bedford-Stuyvesant,1.0,1.0,,95.0,House,Private room,2018-03-05
59.0,2,Bedford-Stuyvesant,1.0,2.0,,84.0,Apartment,Private room,2018-03-04
120.0,2,Prospect Heights,1.0,1.0,1.0,96.0,Bed and breakfast,Private room,2018-03-05
70.0,1,Upper East Side,1.0,1.0,1.0,96.0,Apartment,Private room,2018-03-04
175.0,2,Bedford-Stuyvesant,1.0,1.0,1.0,89.0,Apartment,Entire home/apt,2018-03-04
125.0,2,Chelsea,0.0,1.0,1.0,90.0,Apartment,Entire home/apt,2018-03-05
299.0,2,Lower East Side,1.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-04
95.0,2,Harlem,1.0,1.0,1.0,95.0,Apartment,Private room,2018-03-04
